"","uid","study_id","species_name","taxon","origin","location","study_type","life_history_stage","sex","stressor_name","stressor_type","duration","fitness_name","fitness_type","gc_measurement","mean_gc_low","se_gc_low","mean_gc_high","se_gc_high","mean_fitness_low","se_fitness_low","mean_fitness_high","se_fitness_high","n_gc_low","n_gc_high","n_fitness_low","n_fitness_high","fitness_reversed","authors","yr","journal","article_title","sd_gc_low","sd_gc_high","sd_fitness_low","sd_fitness_high","yi_f","vi_f","yi_gc","vi_gc","lifespan"
"13",13,23,"megalobrama_amblycephala","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","weeks","weight_gain_rate","body_condition","baseline",26.07,1.39,32.06,1.71,354.05,10.6,188.05,8.2,3,3,3,3,"no","Wang, Y-W et al.",2019,"Aquaculture Research","﻿Effects of stocking density on the growth performance, digestive enzyme activities, antioxidant resistance, and intestinal microflora of blunt snout bream (Megalobrama amblycephala) juveniles",2.40755062252074,2.96180688094278,18.3597385602301,14.2028166220648,-8.06955068654422,6.09313735689219,1.77081410273824,0.92798188220472,NA
"14",14,23,"megalobrama_amblycephala","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","weeks","survival_rate","survival","baseline",26.07,1.39,32.06,1.71,98.9,1.11,86.67,4.41,3,3,3,3,"no","Wang, Y-W et al.",2019,"Aquaculture Research","﻿Effects of stocking density on the growth performance, digestive enzyme activities, antioxidant resistance, and intestinal microflora of blunt snout bream (Megalobrama amblycephala) juveniles",2.40755062252074,2.96180688094278,1.92257639640145,7.63834406137875,-1.75203800146627,0.922469763215161,1.77081410273824,0.92798188220472,NA
"15",15,23,"megalobrama_amblycephala","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","weeks","hepatosomatic_index","body_condition","baseline",26.07,1.39,32.06,1.71,1.07,0.1,0.8,0.11,3,3,3,3,"no","Wang, Y-W et al.",2019,"Aquaculture Research","﻿Effects of stocking density on the growth performance, digestive enzyme activities, antioxidant resistance, and intestinal microflora of blunt snout bream (Megalobrama amblycephala) juveniles",2.40755062252074,2.96180688094278,0.173205080756888,0.190525588832577,-1.18321062060727,0.783332281059821,1.77081410273824,0.92798188220472,NA
"16",16,26,"oreochromis_niloticus","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","weeks","survival_rate","survival","total",5.99,1,2.62,0.25,69.7,5.66,26.6,3.9,3,3,3,3,"no","Liu, G et al.",2018,"Fish and Shellfish Immunology","﻿Influence of stocking density on growth, digestive enzyme activities, immune responses, antioxidant of Oreochromis niloticus fingerlings in biofloc systems",1.73205080756888,0.433012701892219,9.80340757083984,6.75499814951862,-4.08499018842863,2.05726206996318,-2.12990318738671,1.04470729897001,9
"17",17,26,"oreochromis_niloticus","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","weeks","final_average_biomass","body_condition","total",5.99,1,2.62,0.25,2.69,0.13,7.95,0.24,3,3,3,3,"no","Liu, G et al.",2018,"Fish and Shellfish Immunology","﻿Influence of stocking density on growth, digestive enzyme activities, immune responses, antioxidant of Oreochromis niloticus fingerlings in biofloc systems",1.73205080756888,0.433012701892219,0.225166604983954,0.41569219381653,12.5545757013976,13.8014475868436,-2.12990318738671,1.04470729897001,9
"18",18,28,"ambystoma_maculatum","amphibians","wild","lab","experimental","juvenile",NA,"conspecific_density","density","weeks","weight_at_metamorphosis","body_condition","total",2.45,0.1,2.8,0.8,1.48,0.06,1.12,0.03,32,32,32,32,"no","Charbonnier, JF et al.",2018,"Diversity","﻿Cross-Life Stage Effects of Aquatic Larval Density and Terrestrial Moisture on Growth and Corticosterone in the Spotted Salamander",0.565685424949238,4.5254833995939,0.339411254969543,0.169705627484771,-1.32533451916663,0.0762227467788643,0.107211317185845,0.0625897989572869,32
"19",19,30,"enhydra_lutris","mammals","wild","field","observational",NA,"female","resource_limitation","food_limitation","years","immune_function","immune_function","stress_induced",111.43,6.16,89.74,2.98,17.73,1.47,20.77,0.72,61,217,61,217,"no","Chinn, SM et al.",2018,"Ecology and Evolution","﻿Lactation and resource limitation affect stress responses, thyroid hormones, immune function, and antioxidant capacity of sea otters (Enhydra lutris)",48.111138003585,43.8981411907156,11.4810670235828,10.6062623011125,0.280651712990638,0.0211434019135469,-0.482321336195242,0.0214201437972601,27
"20",20,36,"scophthalamus_maximus","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","weeks","growth_rate","body_condition","total",1.16,0.023094011,1.72,0.080829038,2.35,0.06350853,2.09,0.023094011,3,3,3,3,"no","Liu et al.",2017,"Acta Oceanology","﻿Stocking density effects on growth and stress response of juvenile turbot (Scophthalmus maximus) reared in land-based recirculating aquaculture system",0.0400000004025545,0.140000000542915,0.110000000674012,0.0400000004025545,-2.50650237725126,1.19021284726385,4.33985434586944,2.23619464528016,NA
"21",21,36,"scophthalamus_maximus","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","weeks","survival_rate","survival","total",1.16,0.023094011,1.72,0.080829038,99.5,1.26439709,99.6,2.170837012,3,3,3,3,"no","Liu et al.",2017,"Acta Oceanology","﻿Stocking density effects on growth and stress response of juvenile turbot (Scophthalmus maximus) reared in land-based recirculating aquaculture system",0.0400000004025545,0.140000000542915,2.19000000082224,3.75999999973501,0.0259320776595511,0.666722706054312,4.33985434586944,2.23619464528016,NA
"22",22,37,"cyanistes_caeruleus","birds","wild","field","observational","adult",NA,"oak_tree_density","food_limitation","years","fledging_success","reproductive_success","baseline",3,0.23,3.35,0.27,8.71,0.34,8.27,0.35,48,45,48,45,"no","Henderson, LJ et al.",2017,"Royal Society Open Science","﻿Do glucocorticoids predict fitness? Linking environmental conditions, corticosterone and reproductive success in the blue tit, Cyanistes caeruleus",1.59348674296337,1.81121506177483,2.35558909829367,2.34787137637478,-0.185539040775542,0.0432406347794905,0.203911036325066,0.043279102387465,14.6
"23",23,37,"cyanistes_caeruleus","birds","wild","field","observational","adult",NA,"asynchrony_caterpillar_peak","food_limitation","years","fledging_success","reproductive_success","baseline",3.14,0.25,2.93,0.25,7.16,0.5,7.38,0.34,83,144,83,144,"no","Henderson, LJ et al.",2017,"Royal Society Open Science","﻿Do glucocorticoids predict fitness? Linking environmental conditions, corticosterone and reproductive success in the blue tit, Cyanistes caeruleus",2.27760839478607,3,4.55521678957215,4.08,0.0514788616607917,0.0189984743811629,-0.0758680920594795,0.0190053155578036,14.6
"24",24,45,"ochotona_curzoniae","mammals","wild","field","observational","adult","female","predator_sightings","predation_risk","years","body_mass","body_condition","total",17.92,2.42,36.18,8.39,153.26,5.06,152.37,4.24,79,72,79,72,"no","Yin, B et al.",2017,"Ecosphere","﻿Effects of predation risk on behavior, hormone levels, and reproductive success of plateau pikas",21.5094304899037,71.1915107298616,44.9742637516169,35.9775930267715,-0.0216323311855093,0.026548666265972,0.352442257839953,0.0269584264890144,NA
"25",25,45,"ochotona_curzoniae","mammals","wild","field","observational","adult","male","predator_sightings","predation_risk","years","body_mass","body_condition","total",17.85,1.83,33.41,5.72,151.63,3.16,149.72,2.57,83,75,83,75,"no","Yin, B et al.",2017,"Ecosphere","﻿Effects of predation risk on behavior, hormone levels, and reproductive success of plateau pikas",16.6720934498341,49.5366530964699,28.788970110096,22.2568528772601,-0.0733994951006734,0.0253985751103703,0.427815049045275,0.0259607214088152,NA
"26",26,45,"ochotona_curzoniae","mammals","wild","field","observational","adult","female","predator_sightings","predation_risk","years","monthly_reproductive_success_per_adult","reproductive_success","total",17.92,2.42,36.18,8.39,0.8,0.31,0.46,0.28,79,72,5,5,"no","Yin, B et al.",2017,"Ecosphere","﻿Effects of predation risk on behavior, hormone levels, and reproductive success of plateau pikas",21.5094304899037,71.1915107298616,0.693181073024935,0.626099033699941,-0.464682420997805,0.410796487619219,0.352442257839953,0.0269584264890144,NA
"27",27,45,"ochotona_curzoniae","mammals","wild","field","observational","adult","male","predator_sightings","predation_risk","years","monthly_percent_with_developed_testes","reproductive_success","total",17.85,1.83,33.41,5.72,57.27,19.26,41.01,22.68,83,75,5,5,"no","Yin, B et al.",2017,"Ecosphere","﻿Effects of predation risk on behavior, hormone levels, and reproductive success of plateau pikas",16.6720934498341,49.5366530964699,43.066669246646,50.7140217296952,-0.311991665732016,0.404866939974312,0.427815049045275,0.0259607214088152,NA
"28",28,57,"dicologlossa_cuneata","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","months","final_body_weight","body_condition","baseline",5.04,2.51,5.05,2.27,11,1.11,9.82,0.82,3,3,3,3,"no","Herrera, M.",2015,"Aquaculture Research","﻿Metabolic enzyme activities in relation to crowding stress in the wedge sole (Dicologoglossa cuneata)",4.34744752699788,3.93175533318135,1.92257639640145,1.42028166220648,-0.557039446669241,0.692524412095464,0.00192501803030372,0.666666975474535,NA
"29",29,57,"dicologlossa_cuneata","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","months","hepatosomatic_index","body_condition","baseline",5.04,2.51,5.05,2.27,0.9,0.06,0.62,0.04,3,3,3,3,"no","Herrera, M.",2015,"Aquaculture Research","﻿Metabolic enzyme activities in relation to crowding stress in the wedge sole (Dicologoglossa cuneata)",4.34744752699788,3.93175533318135,0.103923048454133,0.0692820323027551,-2.52959381946777,1.19990374095746,0.00192501803030372,0.666666975474535,NA
"30",30,57,"dicologlossa_cuneata","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","months","survival_percent","survival","baseline",5.04,2.51,5.05,2.27,18.8,1.7,3.78,0.45,3,3,3,3,"no","Herrera, M.",2015,"Aquaculture Research","﻿Metabolic enzyme activities in relation to crowding stress in the wedge sole (Dicologoglossa cuneata)",4.34744752699788,3.93175533318135,2.94448637286709,0.779422863405995,-5.56428684791713,3.24677401049197,0.00192501803030372,0.666666975474535,NA
"31",31,57,"dicologlossa_cuneata","fish","captive","lab","experimental","juvenile",NA,"stocking_density","density","months","muscle_enzyme_activity","body_condition","baseline",5.04,2.51,5.05,2.27,-1.83,0.83,-12.52,0.78,3,3,10,10,"yes","Herrera, M.",2015,"Aquaculture Research","﻿Metabolic enzyme activities in relation to crowding stress in the wedge sole (Dicologoglossa cuneata)",4.34744752699788,3.93175533318135,2.62469045793975,2.46657657493134,-4.01955232624286,0.60392002258511,0.00192501803030372,0.666666975474535,NA
"32",32,58,"thamnophis_sirtalis","reptiles","wild","field","observational","adult","female","energy_aquisition_assimilation","food_limitation","years","mass","body_condition","fgm",65.7,25,59.1,27.5,20,5,2,3,10,10,10,10,"no","Halliday, WD et al.",2015,"Conservation Physiology","﻿Faecal corticosterone metabolite concentrations are not a good predictor of habitat suitability for common gartersnakes",79.0569415042095,86.9626356546304,15.8113883008419,9.48683298050514,-1.32206630619955,0.243696482949703,-0.076055036748026,0.200144609215369,14
"33",33,58,"thamnophis_sirtalis","reptiles","wild","field","observational","adult","female","energy_aquisition_assimilation","food_limitation","years","litter_size","reproductive_success","fgm",65.7,25,59.1,27.5,9,1,0,0,10,10,10,10,"no","Halliday, WD et al.",2015,"Conservation Physiology","﻿Faecal corticosterone metabolite concentrations are not a good predictor of habitat suitability for common gartersnakes",79.0569415042095,86.9626356546304,3.16227766016838,0,-3.85445251662269,0.571420105072475,-0.076055036748026,0.200144609215369,14
"34",34,61,"lithobates_sylvaticus","amphibians","wild","lab","experimental","juvenile",NA,"food_treatment","food_limitation","weeks","body_mass","body_condition","total",0.295,0.146,0.568,0.174,1.25,0.03,0.8,0.04,6,6,6,6,"no","Warne, RW et al.",2015,"Journal of Experimental Zoology","﻿Larval Growth Rate and Sex Determine Resource Allocation and Stress Responsiveness Across Life Stages in Juvenile Frogs",0.357625502446344,0.426211215244273,0.0734846922834953,0.0979795897113271,-4.79472682682695,1.29122522266225,0.640313744988446,0.350416737167547,5
"35",35,61,"lithobates_sylvaticus","amphibians","wild","lab","experimental","juvenile",NA,"food_treatment","food_limitation","weeks","growth_rate","body_condition","total",0.295,0.146,0.568,0.174,0.0013,0.0036,0.016,0.0039,6,6,6,6,"no","Warne, RW et al.",2015,"Journal of Experimental Zoology","﻿Larval Growth Rate and Sex Determine Resource Allocation and Stress Responsiveness Across Life Stages in Juvenile Frogs",0.357625502446344,0.426211215244273,0.00881816307401944,0.00955300999685439,1.47552057804798,0.424048374010126,0.640313744988446,0.350416737167547,5
"36",36,62,"morus_bassanus","birds","wild","field","observational","adult",NA,"sea_surface_temperature","food_limitation","months","triglyceride_levels","body_condition","baseline",-6,3.74,9.12,2.24,0.095,0.019,-0.225,0.034,10,10,10,10,"no","Franci, CD et al.",2015,"Comparative Biochemistry and Physiology, Part A","﻿Nutritional stress in Northern gannets during an unprecedented low reproductive success year: Can extreme sea surface temperature event and dietary change be the cause?",11.8269184490297,7.08350195877717,0.0600832755431992,0.107517440445725,-3.51866060297345,0.509524310972936,1.48537380088144,0.255158383208625,37.4
"37",37,75,"orthopristis_chrysoptera","fish","captive","lab","experimental",NA,NA,"stocking_density","density","weeks","percent_survival","survival","baseline",29.73,3.30244354,35.04,5.176666667,15.01,3.949075841,42.76,3.21,3,9,3,9,"no","DiMaggio, MA et al.",2014,"North American Journal of Aquaculture","﻿Effects of Stocking Density on Growth, Survival, and Stress Physiology of Pigfis",5.72000000040762,15.530000001,6.83999999955479,9.63,2.80143454671065,0.771445924423773,0.346910691222462,0.449458903931296,4
"38",38,75,"orthopristis_chrysoptera","fish","captive","lab","experimental",NA,NA,"stocking_density","density","weeks","weight","body_condition","baseline",29.73,3.30244354,35.04,5.176666667,16.8,2.771281292,15.2,2.333333333,3,9,3,9,"no","DiMaggio, MA et al.",2014,"North American Journal of Aquaculture","﻿Effects of Stocking Density on Growth, Survival, and Stress Physiology of Pigfis",5.72000000040762,15.530000001,4.79999999980912,6.999999999,-0.223061827656051,0.44651763523433,0.346910691222462,0.449458903931296,4
"39",39,82,"capra_hircus","mammals","captive","lab","experimental","adult","female","conspecific_density","density","weeks","Body_mass_mother","body_condition","total",8.17,3.41,8.22,4.69,6.4,0.9,4.9,1.3,3,3,3,3,"no","Vas, J et al.",2013,"Applied Animal Behaviour Science ","Social interactions, cortisol and reproductive success of domestic goats (Capra hircus) subjected to different animal densities during pregnancy",5.90629325380987,8.12331828749804,1.55884572681199,2.25166604983954,-0.618038723237103,0.698497655285046,0.005617440178119,0.666669296302846,20.8
"40",40,82,"capra_hircus","mammals","captive","lab","experimental","adult","female","conspecific_density","density","weeks","Litter_weight","reproductive_success","total",8.17,3.41,8.22,4.69,5.8,0.4,5.3,0.4,3,3,3,3,"no","Vas, J et al.",2013,"Applied Animal Behaviour Science ","Social interactions, cortisol and reproductive success of domestic goats (Capra hircus) subjected to different animal densities during pregnancy",5.90629325380987,8.12331828749804,0.692820323027551,0.692820323027551,-0.575823582452226,0.694297733175676,0.005617440178119,0.666669296302846,20.8
"41",41,82,"capra_hircus","mammals","captive","lab","experimental","adult","female","conspecific_density","density","weeks","weight_of_kids","reproductive_success","total",8.17,3.41,8.22,4.69,3.4,0.1,3.5,0.1,3,3,3,3,"no","Vas, J et al.",2013,"Applied Animal Behaviour Science ","Social interactions, cortisol and reproductive success of domestic goats (Capra hircus) subjected to different animal densities during pregnancy",5.90629325380987,8.12331828749804,0.173205080756888,0.173205080756888,0.460658865961781,0.684350549232433,0.005617440178119,0.666669296302846,20.8
"42",42,90,"tamiasciurus_hudsonicus","mammals","wid","field","experimental","adult","female","conspecific_density","density","years","pup_growth_rate","reproductive_success","total",6.79,0.1,7.29,0.074,1.52,0.026,2.149,0.068,97,66,12,15,"no","Dantzer et al. 2013",2013,"Science","Density Triggers Maternal Hormones That Increase Adaptive Offspring Growth in a Wild Mammal",0.98488578017961,0.601178841943061,0.0900666419935816,0.263362867542104,2.96159061687684,0.312426277443943,0.584762775144479,0.0265097122234867,9.8
"43",43,95,"clupea_harengus","fish","wild","field","experimental",NA,NA,"conspecific_density","density","minutes ","blood_glucose","body_condition","total",166.76,45,591.14,64.51,6.51,0.25,5.84,0.6,8,8,8,8,"no","Tenningen et al.",2012,"Ices Journal of Marine Science ","The response of herring to high crowding densities in purse-seines: survival and stress reaction",127.279220613579,182.461833817377,0.707106781186548,1.69705627484771,-0.487186752796587,0.25741721662814,2.55014583465791,0.453226368063222,22
"44",44,97,"taeniopygia_guttata","birds","captive","lab","experimental","adult",NA,"conspecific_density","density","weeks","body_mass_adults","body_condition","total",1775.88,286,1535.96,174,20.25,0.65,19.14,0.51,20,20,20,20,"no","Poot, H et al.",2012,"Physiology and behaviour","Behavioural and physiological effects of population density on domesticated Zebra Finches (Taeniopygia guttata) held in aviaries",1279.03088312988,778.151656169927,2.90688837074973,2.28078933704979,-0.416403944949118,0.102167403067115,-0.222122672494506,0.100616731020451,12
"45",45,97,"taeniopygia_guttata","birds","captive","lab","experimental","adult",NA,"conspecific_density","density","weeks","body_mass_offspring","reproductive_success","total",1775.88,286,1535.96,174,18.17,0.34,16.81,0.27,20,20,20,20,"no","Poot, H et al.",2012,"Physiology and behaviour","Behavioural and physiological effects of population density on domesticated Zebra Finches (Taeniopygia guttata) held in aviaries",1279.03088312988,778.151656169927,1.52052622469986,1.20747670784989,-0.970863624434289,0.111782202215621,-0.222122672494506,0.100616731020451,12
"46",46,97,"taeniopygia_guttata","birds","captive","lab","experimental","adult",NA,"conspecific_density","density","weeks","tarsus_length_offspring","reproductive_success","total",1775.88,286,1535.96,174,15.67,0.12,15.15,0.12,20,20,20,20,"no","Poot, H et al.",2012,"Physiology and behaviour","Behavioural and physiological effects of population density on domesticated Zebra Finches (Taeniopygia guttata) held in aviaries",1279.03088312988,778.151656169927,0.53665631459995,0.53665631459995,-0.949690510001765,0.111273900809843,-0.222122672494506,0.100616731020451,12
"47",47,97,"taeniopygia_guttata","birds","captive","lab","experimental","juvenile",NA,"brood_size","density","weeks","body_mass","body_condition","total",5000,1411.66,11510.03,4108.6,14.54,0.56,13.84,0.71,12,10,12,10,"no","Poot, H et al.",2012,"Physiology and behaviour","Behavioural and physiological effects of population density on domesticated Zebra Finches (Taeniopygia guttata) held in aviaries",4890.13368602536,12992.5339945678,1.93989690447714,2.24521713871955,-0.32329038286684,0.185708712234565,0.663372556524921,0.193334768532206,12
"48",48,97,"taeniopygia_guttata","birds","captive","lab","experimental","juvenile",NA,"brood_size","density","weeks","tarsus_length","body_condition","total",5000,1411.66,11510.03,4108.6,15.19,0.25,14.74,0.26,12,10,12,10,"no","Poot, H et al.",2012,"Physiology and behaviour","Behavioural and physiological effects of population density on domesticated Zebra Finches (Taeniopygia guttata) held in aviaries",4890.13368602536,12992.5339945678,0.866025403784439,0.822192191643779,-0.511321250814425,0.189275365640934,0.663372556524921,0.193334768532206,12
"49",49,104,"microtus_oeconomus","mammals","wild","field","experimental","adult",NA,"conspecific_density","density","weeks","minumum_number_known_to_be_alive","survival","total",6.36,0.9,8.35,0.23,0.475,0.025,0.355,0.025,24,120,2,2,"no","Bian, JH et al, ",2011,"OIKOS","Does maternal stress influence winter survival of offspring in root voles Microtus oeconomus? A field experiment ",4.40908153700972,2.51952376452376,0.0353553390593274,0.0353553390593274,-1.91492294592688,1.45836623610466,0.680212005041338,0.051606556846536,NA
"50",50,104,"microtus_oeconomus","mammals","wild","field","experimental","adult",NA,"conspecific_density","density","weeks","offspring_apparent_survival_probability","reproductive_success","total",6.36,0.9,8.35,0.23,0.99,0.025,0.94,0.045,24,120,2,2,"no","Bian, JH et al, ",2011,"OIKOS","Does maternal stress influence winter survival of offspring in root voles Microtus oeconomus? A field experiment ",4.40908153700972,2.51952376452376,0.0353553390593274,0.0636396103067893,-0.547989366189169,1.03753654318205,0.680212005041338,0.051606556846536,NA
"51",51,105,"alle_alle","birds","wild","field","observational","adult",NA,"foraging_conditions","food_limitation","months ","adult_body_mass_greenland","body_condition","total",0.229,0.017,0.29,0.022,157.432,1.419,151.014,1.014,153,171,57,71,"no","Harding et al.",2011,"OECOLOGIA","Adverse foraging conditions may inpact body mass and survival of a high Arctic seabird",0.210278386906501,0.287687330273684,10.7132150636492,8.54411587000083,-0.66670202246021,0.0333646619521284,0.239501284734998,0.012472420782789,NA
"52",52,105,"alle_alle","birds","wild","field","observational","adult",NA,"foraging_conditions","food_limitation","months ","adult_body_mass_spitsbergen","body_condition","total",0.165,0.019,0.462,0.028,165.743,1.284,160.878,1.014,210,84,78,72,"no","Harding et al.",2011,"OECOLOGIA","Adverse foraging conditions may inpact body mass and survival of a high Arctic seabird",0.275336158177599,0.256624238917527,11.339980952365,8.60407531347791,-0.478280262495468,0.0274719084077108,1.09656573292444,0.0187116605554832,NA
"53",53,105,"alle_alle","birds","wild","field","observational","adult","male","foraging_conditions","food_limitation","months ","adult_survival_greenland","survival","total",0.229,0.017,0.29,0.022,0.669,0.07,0.925,0.04,153,171,147,147,"no","Harding et al.",2011,"OECOLOGIA","Adverse foraging conditions may inpact body mass and survival of a high Arctic seabird",0.210278386906501,0.287687330273684,0.84870489570875,0.484974226119286,0.369421001821289,0.0138375372050793,0.239501284734998,0.012472420782789,NA
"54",54,105,"alle_alle","birds","wild","field","observational","adult","female","foraging_conditions","food_limitation","months ","adult_survival_greenland","survival","total",0.229,0.017,0.29,0.022,0.663,0.07,0.926,0.04,153,171,147,147,"no","Harding et al.",2011,"OECOLOGIA","Adverse foraging conditions may inpact body mass and survival of a high Arctic seabird",0.210278386906501,0.287687330273684,0.84870489570875,0.484974226119286,0.37952235733984,0.0138504034348993,0.239501284734998,0.012472420782789,NA
