"","uid","study_id","origin","location","study_type","sample_type","invasiveness","study_groups","post_hoc_notes","authors","yr","journal","article_title"
"23",23,37,"wild","field","observational","blood","invasive","temporal","different years that correspond to differing caterpillar abundance for forgaing by blue tits, measured corticosterone through blood","Henderson, LJ et al.",2017,"Royal Society Open Science","﻿Do glucocorticoids predict fitness? Linking environmental conditions, corticosterone and reproductive success in the blue tit, Cyanistes caeruleus"
"24",24,45,"wild","field","observational","blood","invasive","temporal","different months corresponded to differnet levels of predator abaundance, took corticosterone through blood","Yin, B et al.",2017,"Ecosphere","﻿Effects of predation risk on behavior, hormone levels, and reproductive success of plateau pikas"
"25",25,45,"wild","field","observational","blood","invasive","temporal","different months corresponded to differnet levels of predator abaundance, took corticosterone through blood","Yin, B et al.",2017,"Ecosphere","﻿Effects of predation risk on behavior, hormone levels, and reproductive success of plateau pikas"
"26",26,45,"wild","field","observational","blood","invasive","temporal","different months corresponded to differnet levels of predator abaundance, took corticosterone through blood","Yin, B et al.",2017,"Ecosphere","﻿Effects of predation risk on behavior, hormone levels, and reproductive success of plateau pikas"
"27",27,45,"wild","field","observational","blood","invasive","temporal","different months corresponded to differnet levels of predator abaundance, took corticosterone through blood","Yin, B et al.",2017,"Ecosphere","﻿Effects of predation risk on behavior, hormone levels, and reproductive success of plateau pikas"
"28",28,57,"captive","lab","experimental","blood","invasive","groups","different stocking densities, took cortisol through blood","Herrera, M.",2015,"Aquaculture Research","﻿Metabolic enzyme activities in relation to crowding stress in the wedge sole (Dicologoglossa cuneata)"
"29",29,57,"captive","lab","experimental","blood","invasive","groups","different stocking densities, took cortisol through blood","Herrera, M.",2015,"Aquaculture Research","﻿Metabolic enzyme activities in relation to crowding stress in the wedge sole (Dicologoglossa cuneata)"
"30",30,57,"captive","lab","experimental","blood","invasive","groups","different stocking densities, took cortisol through blood","Herrera, M.",2015,"Aquaculture Research","﻿Metabolic enzyme activities in relation to crowding stress in the wedge sole (Dicologoglossa cuneata)"
"31",31,57,"captive","lab","experimental","blood","invasive","groups","different stocking densities, took cortisol through blood","Herrera, M.",2015,"Aquaculture Research","﻿Metabolic enzyme activities in relation to crowding stress in the wedge sole (Dicologoglossa cuneata)"
"32",32,58,"wild","field","observational","FCM","non_invasive","groups","different groups corresponding to different habitat suitability, FCM taken","Halliday, WD et al.",2015,"Conservation Physiology","﻿Faecal corticosterone metabolite concentrations are not a good predictor of habitat suitability for common gartersnakes"
"33",33,58,"wild","field","observational","FCM","non_invasive","groups","different groups corresponding to different habitat suitability, FCM taken","Halliday, WD et al.",2015,"Conservation Physiology","﻿Faecal corticosterone metabolite concentrations are not a good predictor of habitat suitability for common gartersnakes"
"34",34,61,"wild","lab","experimental","whole_body","invasive","groups","","Warne, RW et al.",2015,"Journal of Experimental Zoology","﻿Larval Growth Rate and Sex Determine Resource Allocation and Stress Responsiveness Across Life Stages in Juvenile Frogs"
"35",35,61,"wild","lab","experimental","whole_body","invasive","groups","","Warne, RW et al.",2015,"Journal of Experimental Zoology","﻿Larval Growth Rate and Sex Determine Resource Allocation and Stress Responsiveness Across Life Stages in Juvenile Frogs"
"36",36,62,"wild","field","observational","blood","invasive","temporal","","Franci, CD et al.",2015,"Comparative Biochemistry and Physiology, Part A","﻿Nutritional stress in Northern gannets during an unprecedented low reproductive success year: Can extreme sea surface temperature event and dietary change be the cause?"
"37",37,75,"captive","lab","experimental","blood","invasive","groups","","DiMaggio, MA et al.",2014,"North American Journal of Aquaculture","﻿Effects of Stocking Density on Growth, Survival, and Stress Physiology of Pigfis"
"38",38,75,"captive","lab","experimental","blood","invasive","groups","","DiMaggio, MA et al.",2014,"North American Journal of Aquaculture","﻿Effects of Stocking Density on Growth, Survival, and Stress Physiology of Pigfis"
"39",39,82,"captive","lab","experimental","blood","invasive","groups","","Vas, J et al.",2013,"Applied Animal Behaviour Science ","Social interactions, cortisol and reproductive success of domestic goats (Capra hircus) subjected to different animal densities during pregnancy"
"40",40,82,"captive","lab","experimental","blood","invasive","groups","","Vas, J et al.",2013,"Applied Animal Behaviour Science ","Social interactions, cortisol and reproductive success of domestic goats (Capra hircus) subjected to different animal densities during pregnancy"
"41",41,82,"captive","lab","experimental","blood","invasive","groups","","Vas, J et al.",2013,"Applied Animal Behaviour Science ","Social interactions, cortisol and reproductive success of domestic goats (Capra hircus) subjected to different animal densities during pregnancy"
"42",42,90,"wid","field","experimental","FCM","non_invasive","groups","","Dantzer et al. 2013",2013,"Science","Density Triggers Maternal Hormones That Increase Adaptive Offspring Growth in a Wild Mammal"
"43",43,95,"wild","field","experimental","blood","invasive","groups","","Tenningen et al.",2012,"Ices Journal of Marine Science ","The response of herring to high crowding densities in purse-seines: survival and stress reaction"
"44",44,97,"captive","lab","experimental","blood","invasive","groups","","Poot, H et al.",2012,"Physiology and behaviour","Behavioural and physiological effects of population density on domesticated Zebra Finches (Taeniopygia guttata) held in aviaries"
"45",45,97,"captive","lab","experimental","blood","invasive","groups","","Poot, H et al.",2012,"Physiology and behaviour","Behavioural and physiological effects of population density on domesticated Zebra Finches (Taeniopygia guttata) held in aviaries"
"46",46,97,"captive","lab","experimental","blood","invasive","groups","","Poot, H et al.",2012,"Physiology and behaviour","Behavioural and physiological effects of population density on domesticated Zebra Finches (Taeniopygia guttata) held in aviaries"
"47",47,97,"captive","lab","experimental","blood","invasive","groups","","Poot, H et al.",2012,"Physiology and behaviour","Behavioural and physiological effects of population density on domesticated Zebra Finches (Taeniopygia guttata) held in aviaries"
"48",48,97,"captive","lab","experimental","blood","invasive","groups","","Poot, H et al.",2012,"Physiology and behaviour","Behavioural and physiological effects of population density on domesticated Zebra Finches (Taeniopygia guttata) held in aviaries"
"49",49,104,"wild","field","experimental","blood","invasive","groups","","Bian, JH et al, ",2011,"OIKOS","Does maternal stress influence winter survival of offspring in root voles Microtus oeconomus? A field experiment "
"50",50,104,"wild","field","experimental","blood","invasive","groups","","Bian, JH et al, ",2011,"OIKOS","Does maternal stress influence winter survival of offspring in root voles Microtus oeconomus? A field experiment "
"51",51,105,"wild","field","observational","blood","invasive","groups","","Harding et al.",2011,"OECOLOGIA","Adverse foraging conditions may inpact body mass and survival of a high Arctic seabird"
"52",52,105,"wild","field","observational","blood","invasive","groups","","Harding et al.",2011,"OECOLOGIA","Adverse foraging conditions may inpact body mass and survival of a high Arctic seabird"
"53",53,105,"wild","field","observational","blood","invasive","groups","","Harding et al.",2011,"OECOLOGIA","Adverse foraging conditions may inpact body mass and survival of a high Arctic seabird"
"54",54,105,"wild","field","observational","blood","invasive","groups","","Harding et al.",2011,"OECOLOGIA","Adverse foraging conditions may inpact body mass and survival of a high Arctic seabird"
"55",55,105,"wild","field","observational","blood","invasive","groups","","Harding et al.",2011,"OECOLOGIA","Adverse foraging conditions may inpact body mass and survival of a high Arctic seabird"
"56",56,105,"wild","field","observational","blood","invasive","groups","","Harding et al.",2011,"OECOLOGIA","Adverse foraging conditions may inpact body mass and survival of a high Arctic seabird"
"57",57,106,"wild","field","observational","blood","invasive","groups","","Rensel et al.",2011,"General and Comparative Endocrinology","Corticosterone , brood size, and hatch order in free-liing Florida scrub-jay (Aphelocoma coerulescens) nestlings"
"58",58,107,"captive","lab","experimental","blood","invasive","groups","","Lyons et al.",2011,"Journal of Field Ornithology ","Validating growth and development of a seabird as an indicator of food availability: captive-reared Caspian Tern chicks fed ad libitum and restricted diets"
"59",59,107,"captive","lab","experimental","blood","invasive","groups","","Lyons et al.",2011,"Journal of Field Ornithology ","Validating growth and development of a seabird as an indicator of food availability: captive-reared Caspian Tern chicks fed ad libitum and restricted diets"
"60",60,108,"wild","field","observational","FCM","non_invasive","temporal","","Sheriff et al. ",2011,"Oecologia","From process to pattern: how Xuctuating predation risk impacts"
"61",61,108,"wild","field","observational","FCM","non_invasive","temporal","","Sheriff et al. ",2011,"Oecologia","From process to pattern: how Xuctuating predation risk impacts"
"62",62,111,"wild","field","observational","blood","invasive","groups","","Beaulieu et al. ",2010,"Functional Ecology","When sea-ice clock is ahead of Ade ́lie penguins’ clock"
"63",63,111,"wild","field","observational","blood","invasive","groups","","Beaulieu et al. ",2010,"Functional Ecology","When sea-ice clock is ahead of Ade ́lie penguins’ clock"
"64",64,115,"wild","lab","experimental","blood","invasive","groups","","Honarmand",2010,"PLOS one","Stressful Dieting: Nutritional Conditions but Not Compensatory Growth Elevate Corticosterone Levels in Zebra Finch Nestlings and Fledglings"
"65",64,115,"wild","lab","experimental","blood","invasive","groups","","Honarmand",2010,"PLOS one","Stressful Dieting: Nutritional Conditions but Not Compensatory Growth Elevate Corticosterone Levels in Zebra Finch Nestlings and Fledglings"
"66",66,118,"captive","lab","experimental","blood","invasive","groups","","Tolussi et al. ",2010,"Aquaculture","The effects of stocking density in physiological parameters and growth of the endangered teleost species piabanha, Brycon insignis (Steindachner, 1877)"
"67",67,118,"captive","lab","experimental","blood","invasive","groups","","Tolussi et al. ",2010,"Aquaculture","The effects of stocking density in physiological parameters and growth of the endangered teleost species piabanha, Brycon insignis (Steindachner, 1877)"
"68",68,118,"captive","lab","experimental","blood","invasive","groups","","Tolussi et al. ",2010,"Aquaculture","The effects of stocking density in physiological parameters and growth of the endangered teleost species piabanha, Brycon insignis (Steindachner, 1877)"
"69",69,119,"captive","lab","experimental","blood","invasive","groups","","Gang et al. ",2010,"Aquaculture","Effect of density on Scortum barcoo (McCulloch & Waite) juvenile performance in circular tanks"
"70",70,123,"wild","lab","experimental","FCM","non_invasive","temporal","","Sheriff et al.",2009,"Animal ecology","The sensitive hare: sublethal effects of predator stress on reproduction in snowshoe hares"
"71",71,123,"wild","lab","experimental","FCM","non_invasive","temporal","","Sheriff et al.",2009,"Animal ecology","The sensitive hare: sublethal effects of predator stress on reproduction in snowshoe hares"
"72",72,123,"wild","lab","experimental","FCM","non_invasive","temporal","","Sheriff et al.",2009,"Animal ecology","The sensitive hare: sublethal effects of predator stress on reproduction in snowshoe hares"
"73",73,130,"captive","lab","experimental","blood","invasive","groups","","sears and hatch",2008,"The Cooper Ornithological Society","RHINOCEROS AUKLET DEVELOPMENTAL RESPONSES TO FOOD LIMITATION: AN EXPERIMENTAL STUDY"
"74",74,130,"captive","lab","experimental","blood","invasive","groups","","sears and hatch",2008,"The Cooper Ornithological Society","RHINOCEROS AUKLET DEVELOPMENTAL RESPONSES TO FOOD LIMITATION: AN EXPERIMENTAL STUDY"
"75",75,130,"captive","lab","experimental","blood","invasive","groups","","sears and hatch",2008,"The Cooper Ornithological Society","RHINOCEROS AUKLET DEVELOPMENTAL RESPONSES TO FOOD LIMITATION: AN EXPERIMENTAL STUDY"
"76",76,130,"captive","lab","experimental","blood","invasive","groups","","sears and hatch",2008,"The Cooper Ornithological Society","RHINOCEROS AUKLET DEVELOPMENTAL RESPONSES TO FOOD LIMITATION: AN EXPERIMENTAL STUDY"
"77",77,131,"captive","lab","experimental","blood","invasive","groups","","Herrera, M et al.",2009,"Aquacuture Research","Physiological responses of juvenile wedge sole Dicologoglossa cuneata (Moreau) to high stocking density"
"78",78,131,"captive","lab","experimental","blood","invasive","groups","","Herrera, M et al.",2009,"Aquacuture Research","Physiological responses of juvenile wedge sole Dicologoglossa cuneata (Moreau) to high stocking density"
"79",79,131,"captive","lab","experimental","blood","invasive","groups","","Herrera, M et al.",2009,"Aquacuture Research","Physiological responses of juvenile wedge sole Dicologoglossa cuneata (Moreau) to high stocking density"
"80",80,131,"captive","lab","experimental","blood","invasive","groups","","Herrera, M et al.",2009,"Aquacuture Research","Physiological responses of juvenile wedge sole Dicologoglossa cuneata (Moreau) to high stocking density"
"81",81,132,"captive","lab","experimental","blood","invasive","groups","","Rettig and Lagon",2021,"Ecology and evolution ","A novel diet interacts with nutritional stress to modify juvenile behaviours and glucocortocoid responses"
"82",82,132,"captive","lab","experimental","blood","invasive","groups","","Rettig and Lagon",2021,"Ecology and evolution ","A novel diet interacts with nutritional stress to modify juvenile behaviours and glucocortocoid responses"
"83",90,163,"wild","field","observational","blood","invasive","groups","","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)"
"84",91,163,"wild","field","observational","blood","invasive","groups","","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)"
"85",92,163,"wild","field","observational","blood","invasive","groups","","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)"
"86",93,163,"wild","field","observational","blood","invasive","groups","","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)"
"87",94,163,"wild","field","observational","blood","invasive","groups","","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)"
"88",95,163,"wild","field","observational","blood","invasive","groups","","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)"
"89",96,163,"wild","field","observational","blood","invasive","groups","","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)"
"90",97,163,"wild","field","observational","blood","invasive","groups","","Bauer et al.",2013,"General and Comparative endocrinology","Habitat type influences endocrine stress response in the degu (Octodon degus)"
"91",102,168,"captive","lab","experimental","blood","invasive","groups","","Sadhu et al.",2014,"Fish Physiology & Biochemistry","Chronic stress due to high stocking density in open sea cage farming induces variation in biochemical and immunological functions in Asian seabass (Lates calcarifer, Bloch)"
"92",103,168,"captive","lab","experimental","blood","invasive","groups","","Sadhu et al.",2014,"Fish Physiology & Biochemistry","Chronic stress due to high stocking density in open sea cage farming induces variation in biochemical and immunological functions in Asian seabass (Lates calcarifer, Bloch)"
"93",104,169,"wild","lab","experimental","whole_body","invasive","groups","","Middlemis Maher et al.",2013,"Proceedings of the Royal Society B","Stress hormones mediate predator-induced phenotypic plasticity in amphibian tadpoles"
"94",105,170,"captive","lab","experimental","blood","invasive","groups","","Costas et al.",2013,"Fish Physiology & Biochemistry","Interactive effects of a high-quality protein diet and high stocking density on the stress response and some innate immune parameters of Senegalese sole Solea senegalensis"
"95",106,170,"captive","lab","experimental","blood","invasive","groups","","Costas et al.",2013,"Fish Physiology & Biochemistry","Interactive effects of a high-quality protein diet and high stocking density on the stress response and some innate immune parameters of Senegalese sole Solea senegalensis"
"96",107,171,"captive","lab","experimental","blood","invasive","groups","","Laiz-Carrion et al.",2012,"Aquaculture International","Influence of food deprivation and high stocking density on energetic metabolism and stress response in red porgy, Pagrus pagrus L"
"97",108,171,"captive","lab","experimental","blood","invasive","groups","","Laiz-Carrion et al.",2012,"Aquaculture International","Influence of food deprivation and high stocking density on energetic metabolism and stress response in red porgy, Pagrus pagrus L"
"98",109,172,"captive","lab","experimental","blood","invasive","groups","","Liu et al.",2015,"Marine and Freshwater Behaviour and Physiology","The effect of stocking density on growth and seven physiological parameters with assessment of their potential as stress response indicators for the Atlantic salmon ( <i>Salmo salar</i> )"
"99",110,172,"captive","lab","experimental","blood","invasive","groups","","Liu et al.",2015,"Marine and Freshwater Behaviour and Physiology","The effect of stocking density on growth and seven physiological parameters with assessment of their potential as stress response indicators for the Atlantic salmon ( <i>Salmo salar</i> )"
"100",111,173,"wild","field","experimental","blood","invasive","temporal","","Fitzsimmons et al.",2017,"Marine Ecology Progress Series","High growth and low corticosterone in food-supplemented Atlantic puffin Fratercula arctica chicks under poor foraging conditions"
"101",113,175,"captive","lab","experimental","blood","invasive","groups","","Olsen et al.",2008,"Aquaculture","The acute stress response in fed and food deprived Atlantic cod, Gadus morhua L."
"102",114,175,"captive","lab","experimental","blood","invasive","groups","","Olsen et al.",2008,"Aquaculture","The acute stress response in fed and food deprived Atlantic cod, Gadus morhua L."
"103",115,176,"wild","field","experimental","blood","invasive","groups","","Eraud et al.",2008,"General and Comparative endocrinology","Competition for resources modulates cell-mediated immunity and stress hormone level in nestling collared doves (Streptopelia decaocto)"
"104",116,177,"wild","field","experimental","blood","invasive","groups","","Gil et al.",2008,"Hormones and Behavior","Increased sibling competition does not increase testosterone or corticosterone levels in nestlings of the spotless starling (Sturnus unicolor)"
"105",117,177,"wild","field","experimental","blood","invasive","groups","","Gil et al.",2008,"Hormones and Behavior","Increased sibling competition does not increase testosterone or corticosterone levels in nestlings of the spotless starling (Sturnus unicolor)"
"106",118,177,"wild","field","experimental","blood","invasive","groups","","Gil et al.",2008,"Hormones and Behavior","Increased sibling competition does not increase testosterone or corticosterone levels in nestlings of the spotless starling (Sturnus unicolor)"
"107",119,177,"wild","field","experimental","blood","invasive","groups","","Gil et al.",2008,"Hormones and Behavior","Increased sibling competition does not increase testosterone or corticosterone levels in nestlings of the spotless starling (Sturnus unicolor)"
"108",120,178,"captive","lab","experimental","blood","invasive","groups","","Barcellos  et al.",2010,"Aquaculture","The effects of fasting on cortisol, blood glucose and liver and muscle glycogen in adult jundiá Rhamdia quelen"
"109",121,179,"captive","lab","experimental","blood","invasive","groups","","Basrur et  al.",2010,"Fish Physiology & Biochemistry","Effects of repeated crowding on the stress response and growth performance in Atlantic salmon (Salmo salar)"
